Tabela,Data,Kurs średni,Zmiana
93/A/NBP/2022,2022-05-16,4.4785,-0.14
92/A/NBP/2022,2022-05-13,4.4849,-0.03
91/A/NBP/2022,2022-05-12,4.4863,1.52
90/A/NBP/2022,2022-05-11,4.419,-0.07
89/A/NBP/2022,2022-05-10,4.4223,-1.25
88/A/NBP/2022,2022-05-09,4.4784,0.63
87/A/NBP/2022,2022-05-06,4.4502,1.1
86/A/NBP/2022,2022-05-05,4.4017,-0.99
85/A/NBP/2022,2022-05-04,4.4456,0
84/A/NBP/2022,2022-05-02,4.4454,0.87
83/A/NBP/2022,2022-04-29,4.4072,-1.21
82/A/NBP/2022,2022-04-28,4.4613,0.36
81/A/NBP/2022,2022-04-27,4.4453,2.26
80/A/NBP/2022,2022-04-26,4.3469,0.65
79/A/NBP/2022,2022-04-25,4.3188,0.59
78/A/NBP/2022,2022-04-22,4.2935,0.8
77/A/NBP/2022,2022-04-21,4.2596,-0.26
76/A/NBP/2022,2022-04-20,4.2708,-0.42
75/A/NBP/2022,2022-04-19,4.2887,0.05
74/A/NBP/2022,2022-04-15,4.2865,0.67
73/A/NBP/2022,2022-04-14,4.2581,-0.68
72/A/NBP/2022,2022-04-13,4.2872,-0.13
71/A/NBP/2022,2022-04-12,4.2926,0.8
70/A/NBP/2022,2022-04-11,4.2586,-0.27
69/A/NBP/2022,2022-04-08,4.2703,-0.06
68/A/NBP/2022,2022-04-07,4.2727,0.28
67/A/NBP/2022,2022-04-06,4.2606,0.88
66/A/NBP/2022,2022-04-05,4.2233,0.38
65/A/NBP/2022,2022-04-04,4.2073,0.23
64/A/NBP/2022,2022-04-01,4.1978,0.42
63/A/NBP/2022,2022-03-31,4.1801,0.27
62/A/NBP/2022,2022-03-30,4.1688,-2.86
61/A/NBP/2022,2022-03-29,4.2917,0.31
60/A/NBP/2022,2022-03-28,4.2784,-0.79
59/A/NBP/2022,2022-03-25,4.3125,-0.43
58/A/NBP/2022,2022-03-24,4.331,1.26
57/A/NBP/2022,2022-03-23,4.2772,0.12
56/A/NBP/2022,2022-03-22,4.272,0.65
55/A/NBP/2022,2022-03-21,4.2444,-0.62
54/A/NBP/2022,2022-03-18,4.2707,0.72
53/A/NBP/2022,2022-03-17,4.2403,-0.99
52/A/NBP/2022,2022-03-16,4.2828,-0.38
51/A/NBP/2022,2022-03-15,4.2992,-0.53
50/A/NBP/2022,2022-03-14,4.3221,-1.08
49/A/NBP/2022,2022-03-11,4.3694,0.49
48/A/NBP/2022,2022-03-10,4.3482,-1.51
47/A/NBP/2022,2022-03-09,4.4147,-2.15
46/A/NBP/2022,2022-03-08,4.5115,-1.33
45/A/NBP/2022,2022-03-07,4.5722,4.13
44/A/NBP/2022,2022-03-04,4.391,1.51
43/A/NBP/2022,2022-03-03,4.3257,-0.1
42/A/NBP/2022,2022-03-02,4.3302,2.63
41/A/NBP/2022,2022-03-01,4.2193,0.54
40/A/NBP/2022,2022-02-28,4.1965,0.68
39/A/NBP/2022,2022-02-25,4.1683,0.97
38/A/NBP/2022,2022-02-24,4.1281,3.37
37/A/NBP/2022,2022-02-23,3.9937,-0.46
36/A/NBP/2022,2022-02-22,4.012,0.88
35/A/NBP/2022,2022-02-21,3.9769,-0.07
34/A/NBP/2022,2022-02-18,3.9798,0.28
33/A/NBP/2022,2022-02-17,3.9687,0.53
32/A/NBP/2022,2022-02-16,3.9478,-0.66
31/A/NBP/2022,2022-02-15,3.974,-1.73
30/A/NBP/2022,2022-02-14,4.0439,1.95
29/A/NBP/2022,2022-02-11,3.9665,1.14
28/A/NBP/2022,2022-02-10,3.9218,-0.79
27/A/NBP/2022,2022-02-09,3.953,-0.41
26/A/NBP/2022,2022-02-08,3.9693,-0.45
25/A/NBP/2022,2022-02-07,3.9872,0.54
24/A/NBP/2022,2022-02-04,3.9657,-1.51
23/A/NBP/2022,2022-02-03,4.0267,-0.04
22/A/NBP/2022,2022-02-02,4.0283,-1
21/A/NBP/2022,2022-02-01,4.0689,-1.11
20/A/NBP/2022,2022-01-31,4.1147,0.24
19/A/NBP/2022,2022-01-28,4.1048,0.53
18/A/NBP/2022,2022-01-27,4.083,0.36
17/A/NBP/2022,2022-01-26,4.0684,0.22
16/A/NBP/2022,2022-01-25,4.0593,1.36
15/A/NBP/2022,2022-01-24,4.0049,0.24
14/A/NBP/2022,2022-01-21,3.9953,0.3
13/A/NBP/2022,2022-01-20,3.9833,-0.24
12/A/NBP/2022,2022-01-19,3.993,0.49
11/A/NBP/2022,2022-01-18,3.9734,0.42
10/A/NBP/2022,2022-01-17,3.9567,-0.08
9/A/NBP/2022,2022-01-14,3.9597,0.34
8/A/NBP/2022,2022-01-13,3.9463,-1.04
7/A/NBP/2022,2022-01-12,3.9879,-0.57
6/A/NBP/2022,2022-01-11,4.0106,0.1
5/A/NBP/2022,2022-01-10,4.0064,-0.53
4/A/NBP/2022,2022-01-07,4.0279,-0.29
3/A/NBP/2022,2022-01-05,4.0396,-0.18
2/A/NBP/2022,2022-01-04,4.0468,0.11
1/A/NBP/2022,2022-01-03,4.0424,-0.43
254/A/NBP/2021,2021-12-31,4.06,-0.08
253/A/NBP/2021,2021-12-30,4.0631,-0.36
252/A/NBP/2021,2021-12-29,4.0779,0.39
251/A/NBP/2021,2021-12-28,4.062,-0.66
